Client [] denied for querying log
Client [] denied for querying log
[2011-11-29 12:01:16] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:02:25] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:04:37] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:07:09] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:07:38] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:09:51] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:10:48] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:17:16] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-29, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:17:39] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:25:00] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:33:16] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:46:15] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:47:25] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:48:43] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 12:53:23] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 13:03:07] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 13:11:21] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 13:12:19] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 13:14:03] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 50002, cmd: 2000
[2011-11-29 13:34:36] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 13:35:50] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 13:38:01] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 13:44:20] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 13:44:36] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 0
[2011-11-29 13:46:53] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 0
[2011-11-29 13:47:30] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1002, uid: 50001, cmd: 0
[2011-11-29 13:48:17] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50001, cmd: 0
[2011-11-29 13:49:06] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:49:37] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:51:14] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:51:42] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:52:48] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:53:23] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50002, cmd: 0
[2011-11-29 13:54:14] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50001, cmd: 0
[2011-11-29 13:59:28] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50001, cmd: 0
[2011-11-29 14:01:14] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50001, cmd: 0
[2011-11-29 14:01:40] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1003, uid: 50001, cmd: 0
[2011-11-29 14:02:04] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 0
[2011-11-29 14:02:18] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 14:05:47] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 1000
[2011-11-29 14:06:05] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1001, uid: 50001, cmd: 0
[2011-11-29 14:14:09] Cli: 10.1.10.35, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: $query_cmd, uid: $uid, cmd: $cmd
[2011-11-29 15:28:23] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 15:36:18] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:29:48] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 50001, uid: 0, cmd: 0
[2011-11-29 16:29:54] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:32:04] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:32:47] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:34:15] Cli: 10.1.1.155, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:46:04] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:58:23] Cli: 10.1.1.155, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 16:59:33] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 17:00:34] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 17:03:36] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
[2011-11-29 17:06:40] Cli: 10.1.1.32, Svc: test, QueryTime: 2011-11-28 - 2011-11-30, query_cmd: 1000, uid: 0, cmd: 0
